"Statistics","Mean","Lower Confidence (95%)","Upper Confidence (95%)"
"median","35.154516678624894","33.9806549993842","37.01921683620214"
"integrated mean","40.4382850370623","40.31964061856072","40.55405776629882"
"std","27.52438924925164","26.69172828489996","28.40450953513842"
"3rd Norm. Moment","160.08776708654077","135.12153681568938","186.35047533102528"
"4th Norm. Moment","454.60638009622033","407.60204616437045","505.1515961681994"
"5th Norm. Moment","378.1285562223256","312.8644016899793","443.7418907768706"
